	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
YGR218W	0.17	0.06	-0.03	0.25	-0.2	-0.24	0.03	0.13	0.36	0.13	-0.01		0.04	-0.69
YGR219W	-0.19	-0.55	-0.39	0.03	-0.19	0.2	-0.17	0.42	0.27	0	0.14	-0.01	0.3	0.13
YGR220C	0.09	-0.16	-0.3	-0.08	-0.24	-0.19	0.07	0.22	0.14	0.05	0.21	0.21	0.09	-0.12
YGR221C	-0.85	-0.92	-0.71	0.33	-0.03	0.56	0.38	0.57	0.39	0.57	0.15	-0.23	-0.68	0.47
YGR222W	-0.07	0.05	-0.06	0.7	0	-0.26	0	-0.15	-0.19	-0.24	0.22	0.19	-0.11	-0.06
YGR223C	0.28	-0.29	-0.23	-0.23	-0.04	0.08	-0.29	0.31	0.03	0.01	0.36	0.03	-0.14	0.14
YGR224W	0.05	-0.19	-0.21	-0.21	0.01	-0.21	0.05	0.05	0.21	0.03	0.15	0.28	-0.15	0.16
YGR225W	0.15	0.2	-0.21	0.2	-0.1	0.18	0.26	-0.54	0	-0.21	0.4	0.09	-0.6	0.18
YGR226C	0.28	-0.21	0.06	0.09	0.04	0.22	0.14	0.06	-0.44	-0.49	0.16	-0.09	-0.13	0.31
YGR227W	-0.3	-0.12	-0.03	0.11	0.02	-0.05	-0.07	-0.07	0.03	-0.03	0.13	0.08	0.13	0.16
YGR228W	-1.09	-0.77	-0.27	0.12	0.22	0.43	0.36	0.11	0.18	0.37	0.49	0.13	-0.14	-0.13
YGR229C	-1.37	-0.41	0.38	-0.3	-0.04	0.28	0.06	0.35	-0.15	0.41	0.61	0.07	0.15	-0.03
YGR230W	-0.33	-0.37	-0.26	-0.3	-0.35	-0.35	-0.11	0.05	0.25	0.16	0.72	0.43	0.2	0.26
YGR231C	0.26	0.28	-0.51	-0.36	-0.49	-0.28	-0.17	0.13	0.01	-0.03	0.32	0.21	0.44	0.2
YGR232W	-0.04	0.18	0.24	0.33	-0.07	-0.23	-0.24	-0.13	-0.06	-0.16	0.1	0.07	0	0.02
YGR233C	-0.29	0.29	-0.15	0.53	-0.02	0.06	-0.15	0.08	-0.21	-0.02	0.01	0.09	-0.39	0.15
YGR234W	-0.2	-0.1	0.84	0.63	0.42	0.2	-0.16	-0.23	-0.36	-0.31	-0.03	0.16	-0.38	-0.47
YGR235C	0.18	0.01	0.07	0.19	0.39	0.35	-0.28	-0.05	-0.41	-0.14	0.37	-0.06	-0.45	-0.17
YGR236C	2.76	-0.05	0.31	-0.4	-0.29	-0.54	-0.75	-0.43	-0.23	-1	-0.14	-0.2	0.55	0.42
YGR237C	1.14	-0.04	-0.01	-0.28	-0.41	-0.36	-0.47	0.07	-0.2	-0.2	0.04	0.09	0.47	0.16
YGR238C	-0.24	-0.16	-0.14	-0.12	0.04	0.14	0.12	0.09	-0.1	-0.03	-0.07	0.37	0.17	-0.05
YGR239C	-0.89	-0.16	-0.15	-0.07	0.17	0.14	0.14	0.28	0.14	0.38	0.15	-0.2	-0.04	0.11
YGR240C	-0.53	-0.1	-0.14	-0.08	-0.17	-0.05	-0.23	0.07	0.36		-0.1	0.57	0.35	0.06
YGR241C	-0.44	-0.33	-0.12	-0.25	-0.03	0.16	0.11	0.41	0.2	0.08	0.04	0.29	-0.05	-0.07
YGR242W	0	0.05	0.03	-0.13	-0.04	-1	0.02	0.19	0.12	0.09	0.16	0.37	0.13	0
YGR243W	0.53	-0.05	0.2	-0.38	-0.3	-0.19	-0.16	0.09	0.04	-0.21	-0.02	0.17	0.22	0.06
YGR244C	0.07	0.09	-0.28	-0.07	-0.15	-0.73	-0.09	0.28	0.2	0.01	-0.11	0.35	0.36	0.08
YGR245C	-0.92	-0.62	-0.33	0.21	0.95	0.91	0.28	0.18	-0.25	0.43	0.13	-0.52	-0.5	0.03
YGR246C	0.14	-0.04	-0.17	-0.3	-0.19	-0.15	-0.13	0.09	0.21	0	-0.17	0.29	0.27	0.15
YGR247W	0.53	-0.02	0.07	-0.45	-0.35	-0.33	0.05	0	0.1	-0.12	0.17	0.26	-0.31	0.39
YGR248W	2.24	0.74	0.59	0.07	-1.25	-1.4	-1.03	-0.4	0.18	-1.07	-0.76	0.71	1.07	0.3
YGR249W	0.93	0.2	-0.09	-0.04	-0.31	-0.29	-0.17	0.16	-0.12	-0.24	-0.01	0.1	-0.14	0.05
YGR250C	0.58	0.08	0.17	-0.02	-0.7	-0.26	-0.09	0	0.18	0.09	-0.37	0.41	0.11	-0.19
YGR251W	-0.22	0.09	0.64	0.23	0.42	0.47	0.15	-0.04	-0.31	-0.17	0.12	-0.45	-0.75	-0.19
YGR252W	0.37	-0.2	0.01	0.03	-0.18	0.03	-0.05	0.13	0.03	-0.1	-0.18	0.09	-0.08	0.1
YGR253C	0.93	0.46	0.11	-0.49	-0.56	-0.25	-0.31	0.1	0.01	-0.16	0.24	-0.07	0.06	-0.05
YGR254W	0.33	-0.07	0.17	0.2	0.08	0.02	-0.26	-0.02	-0.05	-0.02	-0.82	-0.01	0.4	0.04
YGR255C	0.56	0.16	-0.16	-0.37	-0.28	-0.1	-0.2	0.1	-0.15	-0.21	0.23	0.06	0.19	0.19
YGR256W	0.9	0.2	0.19	0.38	-0.09	-0.5	-0.32	-0.12	-0.06	-0.36	-0.54	-0.03	0.38	-0.01
YGR257C	0.34	0.1	0.52	-0.18	-0.16	-0.03	-0.12	0.13	-0.04	-0.27	-0.08	-0.11	-0.12	0.04
YGR258C	0.71	0.1	0.04	0.11	-0.14	-0.19	-0.1	-0.27	-0.18	-0.21	-0.27	0.1	0.14	0.15
YGR259C	-1	0.34	0.24	-0.2	-0.25	-0.09	-0.16	0.41	0.19	0.11	0.08	0.21	-0.02	0.13
YGR260W	-0.67	0.04	0.38	0.14	0.01	0.06	0.42	0.02	-0.03	-0.1	-0.06	0.1	-0.09	-0.21
YGR261C	-0.27	-0.25	-0.38	-0.24	0.08	-0.09	-0.14	0.17	0.15	0.23	-0.09	0.24	0.27	0.32
YGR262C	-0.17	-0.09	-0.08	-0.25	-0.08	-0.04	-0.01	0.27	0.11	-0.01	0.08	0.25	0.09	-0.09
YGR263C	0.05	-0.2	-0.03	-0.2	0.25	0.15	-0.09	-0.18	0.05	-0.07	0.15	0.18	-0.05	0
YGR264C	-1.2	-0.28	-0.12	0.27	0.81	0.43	0.3	0.07	0	0.2	0.24	-0.02	-0.55	-0.16
YGR265W	-0.31	-0.1	-0.02	0.13	0.84	0.45	-0.02	-0.08	-0.13	0.03	0.33	-0.33	-0.59	-0.17
YGR266W	0.37	0.37	-0.14	-0.12	-0.31	-0.46	-0.39	-0.29	-0.04	-0.04	0.02	0.55	0.25	0.21
YGR267C	0.56	-0.15	-0.24	-0.32	-0.18	-0.18	-0.66	0.25	0.17	0.07	-0.13	0.24	0.28	0.29
YGR268C	1.27	0.23	0	-0.25	-0.23	-0.4	-0.28	-0.16	-0.08	-0.25	-0.23	0.16	0.15	0.06
YGR269W	0.77	-0.05	0	0.15	0.35	0.21	-0.21	-0.48	-0.1	-0.18	-0.09	0.01	-0.27	-0.1
YGR270W	0.03	-0.15	0.15	0	0.07	-0.16	-0.11	0.02	0.25	0.05	-0.35	0.24	0.08	-0.11
YGR271W	0.07	-0.1	-0.04	0.3	0.21	0.7	0.2	-0.57	0.15	0.04	-0.04	-0.04	-0.66	-0.21
YGR272C	0.07	-0.03	0.13	0.46	0.81	0.38	0.19	-0.05	-0.16	-0.3	0.12	-0.88	-0.3	-0.45
YGR273C	0.29	0.23	0.18	-0.12	0.09	0.27	0.27	-0.27	-0.23	-0.18	0.07	-0.25	-0.42	0.07
YGR274C	-0.05	-0.02	0	0.13	-0.08	0.12	0.14	-0.08	-0.06	-0.03	-0.2	0.11	0.13	-0.11
YGR275W	-0.13	0.14	0.09	-0.02	0.03	0.16	0.07	0.11	-0.2	-0.02	0.23	-0.07	-0.4	0.03
YGR276C	0.1	0.01	-0.12	-0.04	0.06	0.16	0.11	-0.06	-0.02	-0.1	0.14	-0.17	-0.04	-0.04
YGR277C	-0.08	0.27	0.29	-0.33	0.06	-0.18		0.19	-0.15	-0.12	0.06	0.01	-0.33	0.33
YGR278W	0.3	-0.31	-0.03	0.03	0.17	0.08	0.19	0.07	0.12	-0.21	0.17	-0.31	-0.21	-0.07
YGR279C	-0.37	-0.95	-0.47	-0.44	0.08	0.25	0.43	0.56	0.43	0.44	0.36	0.11	-0.06	-0.35
YGR280C	-0.7	-0.25	0	0.68	0.87	0.74	0.3	0.02	-0.43	-0.15	0.03	-0.82		-0.3
YGR281W	0.14	-0.16	-0.31	-0.36	-0.23	-0.05	-0.07	0.27	0.34	0.39	-0.51	0.2	0.3	0.05
YGR282C	-0.04	-0.46	-0.19	-0.32	-0.17	0.07	0.34	0.32	0.14	0.1	0.15	0.28	-0.1	-0.11
YGR283C	-0.18	0.1	0.39	0.03	0.42	0.55	0.21	-0.02	-0.12	0.07	0.08	-0.66	-0.56	-0.3
YGR284C	-0.1	-0.27	0.03	0.2	-0.27	-0.08	0.01	0.04	0.13	0.22	0.06	0	0.17	-0.15
YGR285C	-0.51	-0.49	-0.27	0.01	0.45	0.42	-0.22	0.23	0.02	0.23	0.15	0.09	-0.25	0.15
YGR286C	-0.99	0.68	-0.14	-0.53	-0.14	-0.06	0.33	0.5	0.24	0.09	-0.01	0.14	-0.12	0.01
YGR287C	-0.06	-0.18	-0.28	-0.41	-0.3	-0.19	-0.54	0	0.22	0.14	0.37	0.37	0.28	0.6
YGR288W	0.62	0.1	0.04	0.02	0.04	-0.12	0.14	-0.24	-0.22	-0.3	-0.2	0.17	-0.05	-0.01
YGR289C	0.49	-0.38	-0.31	-0.29	-0.31	-0.22	-0.14	0.12	0.28	0.37	0.12	-0.04	-0.18	0.52
YGR290W	0.97	-0.27	-0.06	0.1	0.1	-0.27	0.16	-0.09	-0.13	-0.15	-0.48	0.15	-0.06	0.03
YGR291C	0.38	-0.21	-0.06	-0.19	0.32	0.21	-0.21	-0.21	0.1	-0.17	0.05	-0.01	-0.17	0.17
YGR292W	-0.24	-0.51	-0.31	-0.54	-0.26	-0.14	-0.12	0	0.27	0.3	-0.14	0.67	0.5	0.53
YGR293C	-0.15	0	0.16	-0.06	0.16	0.09	-0.12	0.01	0.03	-0.1	0.01	0.03		-0.06
YGR294W	0.04	0.04	0.02	0.43	0.1	-0.1	-0.12	0.06	-0.04	-0.17	-0.12	-0.01	-0.04	-0.1
YGR295C	0.01	0.06	-0.3	-0.15	-0.4	-0.12	-0.38	0.09	0.2	-0.1	-0.04	0.3	0.47	0.37
YGR296W	-0.75	-0.39	-0.31	0.09	-0.09	0.13	0.17	0.4	0.44	0.26	-0.47	0.16	0.12	0.24
YHL001W	-1.54	-0.18	-0.76	0.37	0.1	0.35	0.19	0.69	0.33	0.38	-0.03	0.09	0.09	-0.1
YHL002W	0.58	-0.04	0.16	0.32	-0.09	-0.02	-0.01	-0.01	-0.19	-0.16	-0.27	-0.07	-0.16	-0.05
YHL003C	-0.46	-0.29	0.22	0.19	-0.34	0.18	0.19	0.17	-0.04	-0.01	0.21	0.13	-0.11	-0.05
YHL004W	-0.49	-0.58	-0.23	0.11	-0.03	0.19	0.38	0.33	0.1	0.1	0.07	0.08	0.08	-0.11
YHL005C	-0.39	-0.26	0.35	-0.39	-0.19	0.15	-0.06	0.07	-0.02	0.25	0.22	0.11	-0.02	0.17
YHL006C	0.2	0.05	-0.02	0.24	0.07	0.12	0.24	0	-0.23	-0.19	0.02	-0.47	0.07	-0.13
YHL007C	-1.06	-0.02	-0.18	0.66	0.12	0.17	0.03	0.17	-0.1	0.22	-0.07	-0.01	-0.01	0.08
YHL008C	1.43	-0.12	0.13	0.13	0.04	0.01	0.16	-0.06	-0.31	-0.37	-0.21	-0.6	-0.21	-0.03
YHL009C	0.79	0.09	0.44	0.47	0.38	0.16	0.01	-0.36	-0.55	-0.29	-0.01	-0.36	-0.55	-0.22
YHL010C	0.85	0.05	0.37	0.23	-0.12	-0.12	-0.03	-0.01	-0.33	-0.35	-0.16	-0.12	-0.37	0.14
YHL011C	-0.4	-0.08	0.05	0.89	0.69	0.5	0.05	-0.06	-0.42	0.13	0.15	-0.54	-0.75	-0.2
YHL012W	0.12	-0.14	0.81	0.51	0.51	0.54	0.43	-0.06	-0.51	-0.36	0.04	-0.65	-1.1	-0.14
YHL013C	-0.21	-0.43	-0.23	0.15	0.2	0.14	-0.19	0.07	0.17	0.36	0.07	0.07	-0.19	0.02
YHL014C	-0.27	-0.18	-0.06	-0.02	0.35	0.13	0.19	0.04	0.11	-0.12	0.02	0.06	-0.14	-0.1
YHL015W	-0.01	-0.39	-0.1	0.28	0.34	0.41	-0.51	0.14	0.1	0.15	-0.02	0.07	-0.18	-0.29
YHL016C	0.17	-0.02	0.09	0	0.08	-0.17	0.11	0.11	0	0	-0.28	0.06	-0.33	0.2
YHL017W	0.37	-0.13	-0.29	-0.15	-0.21	-0.15	-0.35	-0.08	0.19	0.15	0.02	0.25	0.05	0.33
YHL018W	-0.04	0.13	-0.1	-0.22	0.04	-0.2	0.3	0.06	0.09	-0.06	-0.1	0.13	-0.14	0.11
YHL019C	0.88	-0.23	-0.16	0.24	0.2	-0.14	-0.23	-0.07	-0.12	-0.37	0.11	-0.09	0.08	-0.1
YHL020C	0.18	0.24	-0.14	0.09	0.39	0.17	0.3	0.05	-0.03	-0.32	0.06	-0.3	-0.4	-0.29
YHL021C	1.72	0.17	-0.05	0.06	-1	-0.86	-0.63	-0.29	-0.03	-0.75	-0.1	0.67	0.56	0.54
YHL022C	0.77	0.07	0.35	0.19	0.48	-0.15	-0.04	-0.36	0.01	-0.47	-0.08	-0.39	-0.33	-0.04
YHL023C	0.3	-0.04	-0.11	0.16	0.01	-0.2	-0.18	-0.27	0.12	0.22	-0.12	0.06	0.03	0.01
YHL024W	-1.3	0.84	-0.53	-0.51	-0.63	-0.68	0.19	0.51	0.7	0.25	0.23	0.63	0.2	0.09
YHL025W	0.2	0.02	0.15	-0.12	-0.28	-0.18	-0.08	0.34	0.09	-0.05	-0.11	-0.05	0.1	-0.03
YHL026C	0.1	-0.3	0.64	0.28	0.19	-0.02	0.06	0.21	-0.17	-0.04	-0.27	-0.25	-0.36	-0.06
YHL027W	0.76	0.2	-0.36	-0.09	-0.31	-0.08	-0.22	-0.02	0.03	0.02	-0.31	0.02	0.23	0.13
YHL028W	-0.32	-0.67	-0.24	-0.19	-0.47	-0.78	-0.13	0.38	0.53	0.45	0.5	0.49	0.16	0.29
YHL029C	-0.21	-0.37	-0.43	0.08	-0.12	0	0.35	0.36	0.07	0.3	-0.25	0.04	0.07	0.11
YHL030W	-0.21	0.05	0.5	0.07	-0.19	-0.24	-0.21	0.08	0.07	0.13	-0.4	-0.01	0.24	0.11
YHL031C	0.77	0.03	-0.12	-0.41	0.02	-0.09	-0.01	-0.19	-0.21		0.09	-0.03	-0.05	0.18
YHL032C	0.21	-0.03	0.51	0.57	0.12	-0.03	-0.36	0.07	-0.11	-0.39	-0.16	0	-0.34	-0.07
YHL033C	-0.99	-0.31	-0.82	0.2	0.56	0.48	0.54	0.48	0.23	0.17	0.03	-0.09	-0.44	-0.04
YHL034C	0.86	-0.13	0.12	0.15	-0.01	-0.37	-0.46	0.26	-0.04	-0.19	-0.1	0	-0.23	0.16
YHL035C	-0.07	0.06	-0.22	0.59	-0.16	-0.25	0.08	-0.17	0	-0.08	-0.31	0.06	0.28	0.18
YHL036W	0.41	0.39	0.34	0.41	0.1	-0.19	-0.28	-0.11	-0.26	-0.4	0.04	-0.19	-0.47	0.21
YHL037C	0.38	-0.03	0.06	-0.06	0.1	-0.01	0.08	-0.1	0.03	-0.03	0.03	0.03	-0.43	-0.06
YHL038C	-0.43	-0.14	-0.01	0.03	0.38	0.1	-0.02	0.05	-0.08	0.15	0.07	0.1	-0.06	-0.14
YHL039W	-0.6	-0.07	-0.03	0.32	0.36	0.17	0.07	0.17	-0.05	0.14	0.14	-0.14	-0.57	0.09
YHL040C	-0.21	1.23	0.37	0.16	0.31	0.19	-0.01	-0.26	-0.23	0.16	-0.13	-0.11	-0.98	-0.49
YHL041W	0.42	-0.04	0.32	0.36	0.34	-0.18	0.18	-0.07	-0.11	-0.04	-0.11	-0.23	-0.7	-0.13
YHL042W	0.81	0.16	0.26	0.12	0.26	-0.15	-0.01	-0.24	-0.13	-0.51	0.21	-0.31	-0.33	-0.15
YHL043W	0.54	-0.16	-0.04	0.19	-0.04	1.36	0.17	-0.32	-0.27	-0.56	0.12	-0.18	-0.4	-0.4
YHL044W	0.79	0.38	0.23	0.29	0.2	-0.58	-0.05	-0.25	-0.28	-0.32	-0.01	-0.17	-0.23	-0.01
YHL045W	0.19	-0.1	-0.12	-0.04	-0.02	0.2	0.17	-0.19	-0.02	-0.19	0.12	0.04	-0.12	0.08
YHL046C	0.3	0.14	0.08	0.03	0.09	-0.32	0.04	0.04	0.03	-0.34	0.01	-0.06	-0.01	-0.04
YHL047C	1.27	1.67	0.45	-0.67	-0.7	-0.73	-0.57	-0.45	0.04	-0.07	-0.12	0.23	-0.09	-0.26
YHL048W	0.71	0.17	0.03	-0.03	0.07	-0.28	0.14	-0.07	-0.26	-0.41	0.06	-0.11	-0.01	-0.03
YHL049C	-1.27	-0.35	-0.19	-0.09	0.08	0.33	0.19	0.48	0.16	0.51	-0.27	-0.05	0.07	0.41
YHL050C	-1.28	-0.21	-0.13	0.22	-0.08	0.23	0.35	0.08	0.01	0.37	-0.18	0.15	0.16	0.3
YHR001W	-0.05	0.32	-0.13	-0.15	-0.25	-0.15	-0.26	0.49	-0.01	-0.06	-0.42	0.07	0.38	0.2
YHR001W-A														
YHR002W	0.25	0.06	0.19	0.19	-0.3	-0.15	-0.19	-0.04	-0.08	-0.07	0	0.03	-0.05	0.17
YHR003C	-0.17	0.06	-0.07	0.15	0.06	0.09	-0.1	0.31	0.05	0.13	-0.21	-0.29	-0.07	0.05
YHR004C	1.07	0.21	0.32	0.47	-0.07	-0.03	-0.14	-0.25	-0.52	-0.52	-0.01	-0.04	-0.37	-0.12
YHR005C	-0.88	0.08	-0.03	0.51	0.53	0.29	0.06	-0.09	-0.24	0.03	0.27	-0.22	-0.32	0.01
YHR005C-A														
YHR006W	0.47	-0.44	-0.03	0.17	0.02	0.07	0.02	0.11	0.13	0.04	-0.17	-0.11	-0.02	-0.26
YHR007C	-1.22	0.75	0.16	0.33	0.23	0.18	-0.33	-0.24	0.02	0.27	-0.16	0.06	0.06	-0.1
YHR008C	0.53	-0.29	0.18	0.11	-0.31	-0.15	-0.22	0.04	0.1	-0.24	-0.17	0.04	0.46	-0.09
YHR009C	0.13	-0.42	-0.23	-0.49	-0.19	-0.05	-0.07	0.05	0.67	0.29	-0.51	0.68	0.1	0.04
YHR010W	-0.87	-0.14	0.37	0.81	0.39	0.53	0.36	0.28	-0.15	-0.19	0.11	-0.76	-0.39	-0.34
YHR011W	-0.44	-0.22	-0.29	0.07	0.05	-0.14	-0.04	0.44	0.33	0.2	-0.13	0.29	0.28	-0.41
YHR012W	0.11	0.11	-0.2	-0.22	-0.22	-0.32	-0.22	0.03	0.2	0.05	0.16	0.2	0.2	0.1
YHR013C	-0.35	-0.44	-0.16	0.09	0.35	0.2	0.14	0.31	0.13	0.11	0.16	-0.13	-0.21	-0.21
YHR014W	-0.01	0.14	-0.01	0.01	0.27	0.07	-0.08	-0.28	0.05	-0.08	0.1	-0.01	-0.15	-0.01
YHR015W	0.15	0.1	-0.13	0.08	0.11	-0.27	0.2	0.18	0.06	0.01	-0.05	0.18	-0.54	-0.07
YHR016C	0.69	0.03	-0.09	-0.32	-0.74	-1.08	-0.62	-0.05	0.46	0.07	-0.18	0.7	0.76	0.36
YHR017W	0.3	-0.67	-0.27	-0.31	-0.27	-0.08	0.04	0.39	0.41	0.21	0.37	0.33	-0.14	-0.31
YHR018C	-0.53	-0.06	-0.1	-0.29	-0.06	-0.41	-0.51	-0.03	0.21	0.24	0.12	0.68	0.41	0.33
YHR019C	-1.02	-0.83	-0.26	-0.08	0.25	0.26	0.03	0.63	0.42	0.41	-0.12	0.19	0.09	0.04
YHR020W	-1.51	-0.36	-0.27	-0.04	0.46	0.29	0.36	0.52	0.51	0.58	-0.13	0.03	-0.26	-0.18
YHR021C	-1.07	-0.22	-0.07	-0.02	0.55	0.25	0.16	0.41	0.19	0.21	-0.07	-0.16	-0.15	0
YHR021W-A														
YHR022C	1.45	0.09	-0.2	-0.31	0.06	-0.07	0.02	0.06	0	-0.25	0.21	-0.23	-0.59	-0.25
YHR023W	-1.1	-0.52	-0.32	-0.5	-0.32	-0.38	-0.13	0.29	0.6	0.61	0.54	0.7	-0.02	0.56
YHR024C	-0.9	-0.56	-0.22	-0.14	-0.32	0.01	0.14	0.41	0.27	0.45	0.03	0.21	0.34	0.28
YHR025W	-1.62	0.03	0.07	-0.03	0.14	0.31	0.25	0.39	0.07	0.43	-0.07	-0.15	-0.12	0.29
YHR026W	-0.13	-0.1	-0.05	-0.04	-0.19	-0.09	0.12	0.28	0.09	0.14	0.11	-0.02	-0.02	-0.09
YHR027C	-0.04	0.35	0.22	-0.05	-0.57	-0.19	-0.04	0.27	0.09	0.02	-0.08	0.03	-0.04	0.02
YHR028C	0.33	0.22	0.16	0.05	-0.59	-0.37	-0.13	-0.04	-0.04	0.07	-0.16	0.14	0.3	0.05
YHR029C	0.43	0.39	0.2	-0.06	0.15	-0.1	-0.18	0.02	-0.36	-0.25	0.06	-0.09	-0.25	0.04
YHR030C	0.19	0.11	-0.12	-0.04	-0.22	-0.02	0.02	0.07	-0.23	0.17	-0.14	-0.08	0.23	0.05
YHR031C	-0.74	0.36	0.26	0	0.03	0	-0.03	0.37	0.07	0.05	0.15	-0.06	-0.51	0.05
YHR032W	-0.84	-0.11	0.15	0.5	0.26	0.16	0.15	0.17	-0.3	0.07	-0.19	-0.14	-0.22	0.32
YHR033W	-0.99	1.37	-0.35	0.62	0.19	0.2	-0.15	0.42	-0.24	-0.22	-0.39	-0.32	-0.24	0.07
YHR034C	-0.27	0.31	0.47	0.55	0.2	-0.21	-0.01	0.09	-0.21	-0.07	-0.05	-0.23	-0.45	-0.13
YHR035W	0.5	-0.22	-0.05	0.43	0.2	-0.01	0.52	-0.26	-0.43	-0.05	0.15	0.01	-0.68	-0.11
YHR036W	-0.25	0.05	-0.27	0	0.07	0.02	0.16	0.23	0.11	0.19	-0.23	0.26	-0.1	-0.25
YHR037W	-0.62	0.03	-0.2	0.08	-0.18	-0.14	0.07	-0.01	0.2	0.23	-0.21	0.2	0.34	0.21
YHR038W	0.3	0.09	-0.05	-0.12	-0.12	-0.26	-0.07	0.09	0.04	-0.2	0.38	0	0.12	-0.2
YHR039C	-1.04	-0.08	0.17	0.4	0.01	-0.1	-0.2	0.21	-0.05	0.05	-0.05	0.08	0.09	0.5
YHR039C-A														
YHR040W	-0.76	-0.21	-0.26	0.18	0.39	0.18	0.07	0.5	0.22	0.35	0.01	-0.55	-0.35	0.24
YHR041C	-0.61		-0.1	-0.17	0.03	-0.27	0.12	0.22	0.18	0.22	-0.03	0.23	0.12	0.06
YHR042W	-0.71	-0.03	-0.37	0.3	0.01	-0.11	0.17	0.3	0.17	0.27	-0.12	0.01	-0.35	0.46
YHR043C	0.1	1.66	-0.21	-0.61	-0.25	-0.33	-0.01	0.04	-0.13	-0.42	0.24	0.17	-0.08	-0.15
YHR044C	0.08	-0.24	-0.04	0.16	-0.03	0.06	0.11	0.45	0.13	0.22	-0.06	-0.33	-0.49	-0.03
YHR045W	-0.04	-0.22	0.11	0.31	0.38	0.05	0.46	-0.04	-0.41	0.16	-0.11	-0.04	-0.55	-0.06
YHR046C	-0.72	0.26	0.67	0.22	0.44	0.18	-0.02	-0.25		-0.06	0.12	-0.48	-0.45	0.09
YHR047C	-0.43	-0.09	-0.29	-0.08	-0.3	-0.3	-0.09	0.18	0.2	0.49	-0.01	0.38	0.32	0.02
YHR048W	0.01	-0.13	0.08	0.23	0.03	0.14	0.43	-0.09	0	-0.2	-0.15	-0.02	-0.49	0.14
YHR049C-A														
YHR049W	-0.62	-0.62	-0.05	0.31	0.53	0.67	0.36	0.39	-0.2	0.01	0.05	-0.2	-0.35	-0.3
YHR050W	-0.37	0.24	-0.3	-0.44	-0.71	-0.33	-0.24	0.49	0.18	0.3	0.24	0.39	0.17	0.37
YHR051W	0.48	-0.35	0.38	0.31	-0.09	0.11	-0.02	-0.07	-0.06	-0.1	0.03	0.02	-0.38	-0.26
YHR052W	-1.16	0.45	-0.06	0.64	0.89	0.63	0.07	0.08	-0.21	0.19	-0.02	-0.74	-0.57	-0.19
YHR053C	4.38	2.2	-0.02	-0.26	-0.79	-0.79	-0.91	-0.73	-0.73	-0.76	-0.71	-0.46	-0.09	-0.32
YHR054C	0.64	0.68	-0.5	0.28	0.35	0.16	-0.06	-0.21	-0.5	-0.37	0.23	-0.42	-0.22	-0.06
YHR055C	4.3	2.28	-0.1	-0.3	-0.83	-0.89	-0.71	-0.71	-0.77	-0.86	-0.66	-0.46	0.02	-0.3
YHR056C	0.28	-0.05	0.16	0.16	-0.15	0	-0.22	0.12	-0.22	0	-0.13	0.05	-0.05	0.06
YHR057C	-0.05	0.23	0.15	-0.14	-0.15	-0.21	0.14	0.03	-0.21	-0.17	0.03	0.14	0.09	0.15
YHR058C	-0.33	-0.33	-0.21	-0.09	-0.09	-0.07	-0.09	0.35	0.44	0.3	-0.11	0.06	-0.09	0.26
YHR059W	0.12	-0.3	0.02		0.38	-0.34	0.05	0.18	-0.03	-0.26	0.22	0	-0.07	0.03
YHR060W	0.35	-0.3	0.04	-0.24	-0.01	0.14	-0.08	0.09	0.04	-0.03	0.32	0.01	-0.18	-0.16
YHR061C	-0.49	-0.46	0.01	-0.7	0.13	0.05	0.56	0.49	0.33	0.1	0.3	0.22	-0.28	-0.26
YHR062C	-0.64	-0.47	-0.16	-0.13	0.3	0.47	0.16	0.46	0.29	0.2	0.06	-0.26	-0.28	-0.01
YHR063C	-0.33	0.04	0.13	-0.19	0.22	0.04	0.27	0.1	-0.08	-0.17	0.39	-0.03	-0.17	-0.21
YHR064C	-1.17	-0.6	-0.12	0.01	0.24	0.58	0.24	0.35	0.01	0.35	0.06	0.12	-0.14	0.06
YHR065C	-0.84	0.02	-0.22	0.14	0.44	0.34	-0.02	0.28	0.09	0.11	-0.09	0.02	-0.04	-0.22
YHR066W	-0.63	-0.46	-0.33	0.25	0.6	0.46	-0.08	0.12	0.07	0.3	0.02	-0.21	-0.25	0.13
YHR067W	0.06	0.37	-1.59	0.08	0.15	-0.74	0.06	0.06	0.24	0.02	0.44	0.23	0.28	0.34
YHR068W	-0.85	-0.69	-0.13	-0.24	0.56	0.42	0.09	0.34	0.05	0.23	0.42	-0.03	-0.2	0.02
YHR069C	-0.27	0.18	-0.14	0.04	0.39	0.17	0.06	0.24	-0.19	-0.05	0.03	-0.16	-0.14	-0.16
YHR070W	-0.94	-0.27	0.25	0.06	0.16	0.15	-0.05	0.32	-0.14	0.45	-0.09	-0.19	-0.14	0.43
YHR071W	0.52	0.13	0.14	0.27	0.34	0.02	0.04	-0.25	-0.33	-0.37	-0.29	-0.06	-0.23	0.05
YHR072W	-1.23	0.18	0.41	0.12	0.21	0.36	0.05	-0.02	0.05	0.04	-0.03	-0.34	-0.07	0.27
YHR073W	0.31	-0.18	-0.05	0.13	0.05	0.13	0.15	0.27	-0.13	-0.15	0.04	-0.1	-0.36	-0.1
YHR074W	0.18	0.02	0.07	-0.24	-0.32	-0.14	-0.41	0.14	0.07	0.21	-0.06	0.11	-0.03	0.4
